neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Oiartzun;Entire home/apt;221;2;14;45296;0.12;1;209;5
Bilbao;Private room;24;1;763;44075;6.49;2;58;0
Donostia-San Sebastian;Entire home/apt;100;14;3;45158;0.29;2;221;3
Bilbao;Shared room;19;1;109;45219;0.88;23;116;4
Mutriku;Private room;62;1;92;45293;0.75;2;326;5
Donostia-San Sebastian;Entire home/apt;131;2;447;45382;3.69;1;128;50
Vitoria-Gasteiz;Entire home/apt;71;2;170;45293;1.44;2;83;10
Bilbao;Entire home/apt;165;4;74;45162;0.63;3;228;4
Errenteria;Private room;45;2;61;43779;0.51;1;358;0
Bilbao;Private room;80;1;24;44669;0.20;23;116;0
Bilbao;Private room;130;1;35;45225;0.31;23;128;7
Bilbao;Shared room;19;1;96;45372;0.81;23;116;9
Donostia-San Sebastian;Entire home/apt;259;2;23;45292;1.09;1;239;9
Lekeitio;Entire home/apt;75;2;110;45234;1.25;1;127;17
Artzentales;Entire home/apt;450;2;17;45129;0.18;1;322;3
Donostia-San Sebastian;Entire home/apt;130;7;104;45291;1.00;1;251;20
Donostia-San Sebastian;Entire home/apt;203;2;109;45381;0.90;1;72;5
Bilbao;Entire home/apt;543;1;13;43751;0.14;23;89;0
Mutriku;Private room;66;2;296;45334;2.49;4;334;33
Getaria;Entire home/apt;54;1;52;45027;0.44;16;216;1
Donostia-San Sebastian;Entire home/apt;375;1;75;45199;0.62;1;89;15
Bilbao;Entire home/apt;183;3;95;45374;0.79;1;324;9
Donostia-San Sebastian;Entire home/apt;115;2;351;45368;2.89;4;143;27
Donostia-San Sebastian;Entire home/apt;111;2;10;45350;0.08;4;342;6
Azpeitia;Entire home/apt;120;2;284;45375;2.38;1;79;27
Mutriku;Entire home/apt;106;2;168;45380;1.42;1;299;23
EreÒo;Entire home/apt;83;2;135;45377;1.13;1;297;10
Donostia-San Sebastian;Private room;99;2;23;45146;0.19;5;219;2
Gorliz;Entire home/apt;160;2;72;45184;1.19;2;111;15
Donostia-San Sebastian;Entire home/apt;190;4;37;45157;0.32;1;89;3
Portugalete;Entire home/apt;151;2;79;45270;0.66;1;149;6
Getaria;Entire home/apt;750;3;64;45281;0.59;1;276;12
Donostia-San Sebastian;Entire home/apt;173;2;0;;;4;325;0
Vitoria-Gasteiz;Private room;55;1;130;45362;1.10;3;344;24
Vitoria-Gasteiz;Private room;65;1;111;45153;0.94;3;347;3
Bilbao;Private room;93;2;441;45365;3.79;2;20;34
Ondarroa;Entire home/apt;87;7;7;45170;0.21;1;288;2
Bakio;Entire home/apt;100;2;135;45163;1.14;1;199;6
Donostia-San Sebastian;Entire home/apt;188;1;17;45195;0.17;87;245;1
Donostia-San Sebastian;Entire home/apt;150;1;94;45368;0.90;87;217;11
Donostia-San Sebastian;Private room;77;1;528;45377;4.46;4;213;44
Donostia-San Sebastian;Entire home/apt;135;1;133;45233;1.25;87;180;8
Donostia-San Sebastian;Entire home/apt;250;1;58;45256;0.51;87;220;3
Donostia-San Sebastian;Entire home/apt;200;1;102;45165;0.94;87;263;3
Donostia-San Sebastian;Entire home/apt;100;3;112;45200;0.94;1;54;16
Donostia-San Sebastian;Entire home/apt;188;1;1;44445;0.03;87;265;0
Donostia-San Sebastian;Entire home/apt;124;1;51;45312;0.56;87;186;15
Donostia-San Sebastian;Entire home/apt;135;1;52;45194;0.49;87;228;8
Alonsotegi;Private room;71;15;96;45221;1.14;4;356;4
Donostia-San Sebastian;Entire home/apt;124;1;40;45194;0.39;87;277;6
Donostia-San Sebastian;Entire home/apt;220;2;223;45270;1.88;2;314;25
Bilbao;Entire home/apt;130;1;140;45382;1.18;1;200;24
Donostia-San Sebastian;Entire home/apt;130;32;6;45115;0.05;1;265;1
Irun;Entire home/apt;529;2;56;45148;0.48;1;350;4
Donostia-San Sebastian;Entire home/apt;188;1;49;45214;0.42;87;229;6
Getxo;Entire home/apt;649;2;32;45106;0.27;2;88;2
Vitoria-Gasteiz;Private room;55;1;64;45186;0.60;3;347;3
Bilbao;Private room;29;1;736;44076;6.21;2;58;0
Bilbao;Entire home/apt;111;2;655;45379;5.53;1;96;93
Bilbao;Entire home/apt;113;2;328;45375;2.79;1;136;29
Getxo;Entire home/apt;95;3;42;45234;0.36;2;190;16
Bilbao;Entire home/apt;116;3;372;45355;3.23;1;226;19
Getxo;Entire home/apt;101;3;25;45375;0.21;2;286;3
Donostia-San Sebastian;Entire home/apt;245;3;21;45088;0.18;1;359;1
Zarautz;Entire home/apt;368;3;31;45243;0.30;1;266;4
Bilbao;Private room;43;1;920;45361;7.82;2;329;74
Sondika;Private room;137;2;54;45128;0.46;8;356;1
Sondika;Private room;94;2;56;43692;0.49;8;365;0
Sondika;Private room;94;2;37;44822;0.32;8;365;0
Sondika;Private room;105;2;78;44414;0.69;8;363;0
Sondika;Private room;101;2;54;44830;0.49;8;365;0
Sondika;Private room;129;2;28;45141;0.30;8;363;1
Bilbao;Entire home/apt;101;2;604;45379;5.15;1;138;29
Vitoria-Gasteiz;Entire home/apt;82;2;163;45313;1.39;2;112;16
Donostia-San Sebastian;Entire home/apt;425;1;79;45277;0.72;87;172;8
Bilbao;Private room;30;1;314;45290;2.69;1;294;30
Vitoria-Gasteiz;Private room;79;1;6;45152;0.09;4;135;2
Sukarrieta;Entire home/apt;106;7;12;45142;0.11;1;354;1
Atxondo;Entire home/apt;233;2;19;45139;0.18;1;357;2
Santurtzi;Entire home/apt;84;1;81;45382;6.71;1;255;81
Donostia-San Sebastian;Entire home/apt;262;2;166;45376;1.59;1;273;32
Donostia-San Sebastian;Private room;65;3;78;45161;0.67;3;183;7
Sopuerta;Entire home/apt;515;2;5;45333;0.07;1;245;2
Donostia-San Sebastian;Private room;45;6;93;45156;0.80;3;181;10
Ormaiztegi;Private room;48;1;43;45374;0.40;4;214;2
Ormaiztegi;Private room;29;1;29;45119;0.26;4;111;1
Donostia-San Sebastian;Private room;50;3;115;45161;0.99;3;181;8
Lanciego;Entire home/apt;680;5;2;44017;0.02;2;158;0
Lanciego;Entire home/apt;679;2;46;45292;0.40;2;330;7
Donostia-San Sebastian;Private room;59;2;270;45269;2.57;2;260;43
Oiartzun;Entire home/apt;250;2;103;45287;1.02;1;264;22
Donostia-San Sebastian;Entire home/apt;131;2;504;45369;4.35;2;187;41
Vitoria-Gasteiz;Entire home/apt;132;4;110;45164;0.97;2;45;4
Eskoriatza;Hotel room;115;1;10;45313;0.09;6;323;1
AbadiÒo;Entire home/apt;291;3;22;45289;0.27;1;283;9
Arrazua-Ubarrundia;Entire home/apt;160;2;134;45370;1.16;1;159;16
Donostia-San Sebastian;Entire home/apt;188;1;61;45199;0.56;87;250;9
Zumaia;Private room;54;2;251;45340;2.20;1;273;18
Hondarribia;Entire home/apt;261;2;97;45292;0.89;1;96;8
Busturia;Entire home/apt;100;7;17;45157;0.18;2;207;1
Vitoria-Gasteiz;Entire home/apt;98;2;59;45207;0.52;1;253;3
Bilbao;Entire home/apt;131;2;502;45377;4.38;2;108;41
Plentzia;Private room;135;3;92;45206;0.87;3;323;14
Vitoria-Gasteiz;Private room;32;1;303;45380;2.64;2;305;77
Zarautz;Entire home/apt;222;1;58;45267;0.51;16;229;7
Irun;Entire home/apt;150;2;48;43467;0.45;3;364;0
Zarautz;Entire home/apt;343;5;28;45227;0.34;1;245;7
Donostia-San Sebastian;Entire home/apt;103;3;123;45293;1.09;1;77;10
Sopelana;Entire home/apt;53;2;240;45245;2.63;1;251;26
Zigoitia;Entire home/apt;148;6;46;45375;0.42;3;134;6
Bilbao;Entire home/apt;104;1;609;45365;5.37;1;65;57
Donostia-San Sebastian;Private room;56;2;221;45235;2.10;2;296;45
Donostia-San Sebastian;Entire home/apt;690;3;55;45158;0.81;2;42;8
Bedia;Entire home/apt;89;7;0;;;1;114;0
Donostia-San Sebastian;Private room;110;3;113;45195;1.06;5;166;11
Eskoriatza;Hotel room;175;1;2;43318;0.03;6;342;0
Gatika;Entire home/apt;69;5;140;45374;1.32;1;251;17
Gizaburuaga;Entire home/apt;144;3;10;45153;0.11;2;238;4
Donostia-San Sebastian;Entire home/apt;190;3;164;45287;1.80;1;197;23
Bilbao;Private room;76;2;443;45381;4.03;1;250;61
Donostia-San Sebastian;Entire home/apt;147;2;369;45378;3.36;2;23;11
Donostia-San Sebastian;Entire home/apt;169;2;307;45369;2.81;2;141;52
Alkiza;Entire home/apt;140;3;26;45186;0.46;1;83;11
Donostia-San Sebastian;Entire home/apt;180;4;110;45242;1.04;2;95;21
Donostia-San Sebastian;Entire home/apt;173;1;299;45332;2.71;4;109;19
Donostia-San Sebastian;Entire home/apt;161;1;173;45368;1.60;14;354;4
Donostia-San Sebastian;Entire home/apt;202;1;166;45215;1.52;14;352;4
Donostia-San Sebastian;Private room;100;3;84;45133;0.80;5;138;8
Donostia-San Sebastian;Private room;55;3;83;45168;0.78;5;161;8
Donostia-San Sebastian;Entire home/apt;286;1;1162;45375;10.60;12;294;100
Oy√É¬≥n;Entire home/apt;250;1;125;45319;1.19;1;287;12
Getaria;Entire home/apt;720;1;53;45372;0.50;16;291;15
Donostia-San Sebastian;Entire home/apt;113;1;44;45207;0.42;31;296;1
Bilbao;Entire home/apt;93;7;99;43831;0.93;1;337;0
Orio;Entire home/apt;150;1;14;44070;0.13;14;348;0
Donostia-San Sebastian;Entire home/apt;138;1;28;45143;0.27;14;353;3
Artea;Entire home/apt;88;1;88;45250;0.82;2;325;13
Labastida;Private room;90;2;0;;;1;364;0
Donostia-San Sebastian;Entire home/apt;233;1;426;45354;3.97;1;283;38
Otxandio;Entire home/apt;267;4;27;45152;0.25;1;162;2
